"","X1","ID","weights","ss","healthcare","school","welfare","env","poor","sci","tax_mill","red_ineq","min_wage","job_gov","sex_orig","sex","white","black","asian","hisp","born","class","educ","income","age","black_favors","blm","black_deserve","black_try","slave","vote_duty","int_camp","int_pol","int_med","lib_con_spec","party_id","strong_weak","ind","seven_point","trad","true","bend","lib_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","pol_pca1_scaled"
"1045",1045,1045,0.7898,3,3,3,2,3,3,1,3,2,4,1,1,1,0,0,0,1,1,NA,8,21,NA,4,40,5,4,2,NA,2,3,2,NA,3,NA,2,4,3,2,1,-1.47119731915321,-0.457904726574139,-0.55747683212175,1.01794995611324,-1.47188529385501,-0.56595469020277,1.02961493307398,-0.457994332229513
"1046",1046,1046,0.8999,3,3,2,1,3,3,1,3,1,4,4,2,0,1,0,0,0,4,NA,3,5,78,2,40,2,4,4,2,2,4,4,5,1,1,NA,1,4,5,2,0.512847138017207,1.64424924773927,0.516514253290854,0.448224848810157,0.513086960270998,0.524369170811924,0.453361184347281,1.64457100469632
"1047",1047,1047,0.9188,2,3,3,2,3,3,1,3,2,4,5,1,1,0,1,0,0,1,NA,13,25,45,3,70,4,2,4,1,3,3,4,4,3,NA,3,3,4,5,2,0.512847138017207,0.961673482111723,0.874511281761722,1.01794995611324,0.513086960270998,0.887810457816822,1.02961493307398,0.961861668381966
"1048",1048,1048,0.7831,3,3,3,3,3,3,1,3,3,4,6,2,0,1,0,0,0,1,NA,14,1,46,4,50,2,3,4,NA,2,2,3,4,0,NA,3,NA,1,1,4,-0.333531963542222,-0.430691387858752,1.23250831023259,1.58767506341633,-0.333687932799489,1.25125174482172,1.60586868180067,-0.430775668238126
"1049",1049,1049,0.805,3,1,3,1,2,1,3,3,3,4,7,2,0,0,1,0,0,1,1,11,21,44,2,NA,2,2,5,1,3,3,3,4,1,1,NA,1,2,4,4,1.11080844122786,0.251884377768792,1.59050533870346,-1.78177682609376,1.11132788759726,1.61469303182662,-1.80219471157107,0.251933668076226
"1050",1050,1050,0.384,3,3,3,1,3,3,1,3,1,4,4,1,1,1,0,0,0,1,NA,13,17,25,4,40,3,3,4,1,3,3,3,3,3,NA,3,3,3,3,4,0.629361639637829,0.251884377768792,0.516514253290854,0.448224848810157,0.629655947465013,0.524369170811924,0.453361184347281,0.251933668076226
"1051",1051,1051,0.6478,3,3,3,1,3,3,1,3,2,4,1,2,0,1,0,0,0,1,NA,12,9,34,5,NA,5,5,1,3,3,3,3,1,3,NA,3,3,3,1,2,-1.4129400683429,0.251884377768792,-0.55747683212175,0.448224848810157,-1.41360080025801,-0.56595469020277,0.453361184347281,0.251933668076226
"1052",1052,1052,0.3008,3,1,2,1,3,2,1,3,3,4,2,1,1,1,0,0,0,1,NA,NA,6,67,5,85,4,4,2,NA,2,4,4,1,2,1,NA,7,2,1,1,-1.95264412074323,1.64424924773927,-0.199479803650882,-1.18095973017336,-1.95355723398726,-0.202513403197872,-1.19449268232027,1.64457100469632
"1053",1053,1053,0,2,NA,3,3,1,2,1,NA,NA,NA,2,2,0,0,0,0,1,4,1,2,4,59,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,2,NA,2,NA,NA,NA,0,0,-0.612950120307927,0.583050241572228,-1.21394757586755e-16,-0.62227159132034,0.58973157948481,6.95455484492392e-17
"1054",1054,1054,0.8978,3,3,3,3,3,3,1,3,3,4,6,1,1,1,0,1,0,1,2,14,23,28,1,70,1,1,5,1,3,4,4,1,3,NA,3,3,3,4,3,0.571104388827518,1.64424924773927,1.23250831023259,1.58767506341633,0.571371453868005,1.25125174482172,1.60586868180067,1.64457100469632
"1055",1055,1055,1.9349,3,1,3,2,3,2,1,3,3,4,7,2,0,0,1,0,0,1,NA,9,1,55,NA,NA,5,NA,1,3,3,4,4,NA,NA,NA,NA,NA,3,1,4,-0.333531963542222,1.64424924773927,1.59050533870346,-0.611234622870276,-0.333687932799489,1.61469303182662,-0.618238933593573,1.64457100469632
"1056",1056,1056,0.6187,3,1,3,1,3,2,3,2,2,3,NA,1,1,1,0,0,0,1,NA,13,19,33,5,40,3,4,1,NA,2,3,3,3,2,2,NA,6,1,2,2,-0.93149326675287,0.251884377768792,-0.483579423675585,-1.18095973017336,-0.931928860125755,-0.490933483052761,-1.19449268232027,0.251933668076226
"1057",1057,1057,0.2973,3,3,3,1,2,1,3,3,3,4,1,1,1,0,0,0,1,1,NA,9,1,44,5,0,5,5,1,NA,2,3,3,5,2,2,NA,6,1,1,2,-1.4129400683429,0.251884377768792,-0.55747683212175,-0.753409343030646,-1.41360080025801,-0.56595469020277,-0.762042874154327,0.251933668076226
